Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Shrews
AGO_Okavango,Natural,Savanna,Zambezian,Angola,-13.1,18.2,1440,10,10,2,3,1,1
BDI_Bururi,Natural,Forest,Congolian,Burundi,-3.9383,29.5969,1880,171,12,2,1,0,1
BEN_Gotcha,Natural,Forest-savanna,Congolian,Benin,8.29,1.79,240,100,10,1,1,0,1
BEN_Lougba,Natural,Forest-savanna,Congolian,Benin,8.27,1.76,240,105,7,1,1,0,1
BEN_Terou,Natural,Forest-savanna,Sudanian,Benin,9.06,2.06,290,181,7,1,1,0,1
BEN_Wannou,Natural,Forest-savanna,Sudanian,Benin,9.02,2.06,290,59,6,1,1,0,1
BWA_Okavango,Natural,Savanna,Southern,Botswana,-19.467,23.377,950,6,6,2,1,0,0
CAF_Dzanga,Natural,Rainforest,Congolian,CAR,3.38,16.34,550,232,10,2,2,0,1
CIV_Dabou,Degraded,Forest,Congolian,Ivory_Coast,5.35,-4.433,50,178,5,2,2,0,0
CIV_Foro,Degraded,Guinea-woodland,Sudanian,Ivory_Coast,7.917,-5,300,145,8,2,2,0,0
CIV_Lamto,Degraded,Forest-savanna,Congolian,Ivory_Coast,6.2,-4.967,100,92,10,2,2,0,0
CIV_Tai1,Natural,Rainforest,Congolian,Ivory_Coast,5.833,-7.333,200,236,10,1,1,0,1
CMR_Kupe1,Mixed,Rainforest,Congolian,Cameroon,4.836,9.68,900,52,11,1,1,0,1
CMR_Kupe2,Natural,Montane,Congolian,Cameroon,4.819,9.7075,1500,15,3,1,1,0,0
CMR_Kupe3,Natural,Montane,Congolian,Cameroon,4.7975,9.7031,2000,12,1,1,1,0,0
CMR_Oku,Natural,Montane,Congolian,Cameroon,6.254,10.419,2400,261,16,1,3,0,1
COD_Epulu,Natural,Rainforest,Congolian,DR_Congo,1.4,28.583,800,1387,18,2,1,0,1
COD_Irangi,Natural,Forest,Congolian,DR_Congo,-1.9,28.45,850,3541,13,2,3,0,0
COD_Ituri,Natural,Rainforest,Congolian,DR_Congo,1.417,28.58,760,90,8,1,1,0,0
COD_Kisangani11,Natural,Rainforest,Congolian,DR_Congo,0.448,25.289,420,400,10,2,3,0,0
COD_Kisangani10,Natural,Rainforest,Congolian,DR_Congo,0.6051,25.2565,400,2913,19,2,3,0,0
COD_Kisangani12,Natural,Rainforest,Congolian,DR_Congo,0.2898,25.2869,400,181,10,2,3,0,0
COD_Kitwit,Agricultural,Forest-savanna,Congolian,DR_Congo,-5.0579,18.9092,450,1718,19,1,1,0,1
ETH_Alatish,Natural,Sudanian_savanna,Sudanian,Ethiopia,12.2,35.5,600,211,12,2,2,0,1
ETH_Arbaminch,Mixed,Savanna,Somalian,Ethiopia,6.04,37.57,1200,594,8,2,2,0,0
ETH_Arsi,Natural,Montane,Ethiopian,Ethiopia,7.92,39.2,3200,295,11,2,3,0,0
ETH_Bale1,Natural,Montane,Ethiopian,Ethiopia,7,39.667,3500,458,5,2,2,0,1
ETH_Bale2,Natural,Montane,Ethiopian,Ethiopia,6.67,39.73,2000,188,7,2,2,0,1
ETH_Bale3,Natural,Montane,Ethiopian,Ethiopia,6.9,39.92,3700,16,3,2,2,0,1
ETH_Bale4,Natural,Montane,Ethiopian,Ethiopia,6.85,39.883,4050,30,3,2,2,0,1
ETH_Bale5,Natural,Montane,Ethiopian,Ethiopia,7.05,39.75,3200,13,5,2,2,0,1
ETH_Chebera,Natural,Montane,Ethiopian,Ethiopia,6.82,36.69,800,620,10,2,2,0,1
ETH_Hugumburda,Natural,Montane,Ethiopian,Ethiopia,12.65,39.55,2000,177,7,1,1,0,1
ETH_Hunkolo,Natural,Montane,Ethiopian,Ethiopia,7.4,39.4,3400,307,7,2,2,0,1
ETH_Jiren,Mixed,Montane,Ethiopian,Ethiopia,7.69,36.85,1800,100,6,2,2,0,1
ETH_Kaka,Natural,Montane,Ethiopian,Ethiopia,7.4,39.1,3500,612,8,2,2,0,1
ETH_Simiens1,Natural,Montane,Ethiopian,Ethiopia,13.19,37.89,2900,9,2,1,1,0,0
ETH_Simiens2,Natural,Montane,Ethiopian,Ethiopia,13.23,38.04,3250,119,8,1,1,0,1
ETH_Simiens3,Natural,Montane,Ethiopian,Ethiopia,13.26,38.19,3600,106,6,1,1,0,1
ETH_Simiens4,Natural,Montane,Ethiopian,Ethiopia,13.17,38.2,4000,115,4,1,1,0,1
ETH_Yerer,Natural,Montane,Ethiopian,Ethiopia,8.867,38.96,2000,400,6,2,2,0,1
GAB_Doudou,Natural,Rainforest,Congolian,Gabon,-2.15,10.5,110,1526,11,2,2,0,1
GAB_Gamba,Natural,Rainforest,Congolian,Gabon,-2.75,10.05,25,6,6,1,1,0,1
GAB_Loango,Natural,Rainforest,Congolian,Gabon,-2.2,9.7,30,6,6,1,1,0,1
GAB_Makoukou,Natural,Rainforest,Congolian,Gabon,0.567,12.867,450,230,8,2,2,0,0
GAB_Rabi,Natural,Rainforest,Congolian,Gabon,-1.8,10.3,200,12,12,1,1,0,1
GAB_Toucan,Natural,Rainforest,Congolian,Gabon,-1.7,10.2,160,11,11,1,1,0,1
GHA_Accra,Mixed,Guinea-woodland,Congolian,Ghana,6,0,80,234,10,2,2,0,1
GHA_Boitano,Natural,Rainforest,Congolian,Ghana,5.53,-2.617,80,17,7,1,1,0,1
GHA_Digya,Natural,Forest-savanna,Congolian,Ghana,7.5,-0.5,150,26,4,1,1,0,0
GHA_Draw,Natural,Rainforest,Congolian,Ghana,5.2,-2.4,80,26,6,1,1,0,1
GHA_Kogyae,Natural,Forest-savanna,Congolian,Ghana,7.2,-1.183,150,96,9,2,2,0,0
GHA_Krokosua,Natural,Rainforest,Congolian,Ghana,6.617,-2.85,220,44,4,1,1,0,1
GHA_Mole,Natural,Sudanian_savanna,Sudanian,Ghana,9.5,-2,200,48,5,1,1,0,0
GIN_Niger,Natural,Sudanian_savanna,Sudanian,Guinea,10.1,-10.4,450,11,11,1,1,1,1
GIN_Ziama,Natural,Forest-savanna,Congolian,Guinea,8.1768,-9.3718,600,28,10,1,1,0,1
KEN_Meru,Natural,Savanna,Somalian,Kenya,0.183,38.167,650,323,6,2,2,0,1
KEN_Mukogodo,Natural,Montane,Somalian,Kenya,0.4,37.25,1500,187,7,2,1,0,1
Ken_Nairobi1,Natural,Grassland,Zambezian,Kenya,-1.233,36.8,1750,210,5,2,2,0,1
Ken_Nairobi2,Natural,Grassland,Zambezian,Kenya,-1.2400,36.8300,1750,680,9,2,2,0,0
KEN_Turkana1,Natural,Savanna,Somalian,Kenya,3.95,36.2,380,62,6,2,2,0,1
KEN_Turkana2,Natural,Savanna,Somalian,Kenya,2.567,36.917,1000,6,3,2,2,0,1
LBR_Nimba1,Mixed,Forest-savanna,Congolian,Liberia,7.51,-8.53,1350,1,1,1,1,0,1
LBR_Nimba2,Mixed,Forest-savanna,Congolian,Liberia,7.52,-8.53,1000,7,5,1,1,0,1
LBR_Nimba3,Mixed,Forest-savanna,Congolian,Liberia,7.51,-8.7,420,21,5,1,1,0,1
LBR_Nimba4,Mixed,Forest-savanna,Congolian,Liberia,7.47,-8.65,450,58,6,1,1,0,1
LBR_Wologizi,Natural,Forest-savanna,Congolian,Liberia,8.149,-9.879,550,15,6,1,1,0,1
MLI_Bafing,Mixed,Sudanian_savanna,Sudanian,Mali,13,-10.5,400,245,11,2,3,0,0
MLI_Baoule,Mixed,Sudanian_savanna,Sudanian,Mali,10.5,-7.7,410,50,5,2,3,0,0
MLI_Mandingues,Mixed,Sudanian_savanna,Sudanian,Mali,12.5,-8.5,430,158,11,2,3,0,0
MLI_Mopti,Mixed,Sahel,Sudanian,Mali,14.89,-4.035,260,3107,3,2,3,0,1
MLI_Sikasso,Mixed,Sudanian_savanna,Sudanian,Mali,10.7,-6,340,283,11,2,3,0,0
MOZ_Cabora,Natural,Savanna,Zambezian,Mozambique,-15.6,32.75,840,80,7,2,2,0,1
MOZ_Gorongosa,Natural,Savanna,Zambezian,Mozambique,-18.99,34.35,120,81,10,1,1,0,1
MRT_Chott,Natural,Sahel,Sudanian,Mauritania,16.6,-16.43,10,329,7,2,2,0,1
